consumer,cuisines_name,restraunt_name,restraunt_cuisines
U1001,American,"El Rincon De San Francisco",Mexican
U1001,American,"Puesto De Tacos",Mexican
U1001,American,"Restaurant De Mariscos De Picon",Seafood
U1001,American,"Tortas Locas Hipocampo","Fast Food"
U1002,Mexican,Crudalia,Bar
U1002,Mexican,"El Pueblito",Mexican
U1002,Mexican,"El RincÃ³n De San Francisco",Mexican
U1002,Mexican,"La Cantina Restaurante",Bar
U1002,Mexican,"La Cantina Restaurante",Brewery
U1002,Mexican,"La Posada Del Virrey",International
U1002,Mexican,"Luna Cafe",Bar
U1002,Mexican,"Luna Cafe",Cafeteria
U1002,Mexican,"Puesto De Tacos",Mexican
U1002,Mexican,"Restaurant Bar Hacienda Los Martinez",Bar
U1002,Mexican,"Tortas Locas Hipocampo","Fast Food"
U1003,Mexican,"Cabana Huasteca",Mexican
U1003,Mexican,"Cafe Punta Del Cielo",Cafeteria
U1003,Mexican,"Gordas De Morales",Mexican
U1003,Mexican,"Koye Sushi",Chinese
U1003,Mexican,"La Estrella De Dimas",Mexican
U1003,Mexican,"La Posada Del Virrey",International
U1003,Mexican,"Luna Cafe",Bar
U1003,Mexican,"Luna Cafe",Cafeteria
U1003,Mexican,"Mariscos El Pescador",Seafood
U1003,Mexican,"Puesto De Tacos",Mexican
U1003,Mexican,"Restaurant Bar Hacienda Los Martinez",Bar
U1003,Mexican,"Rockabilly ",Bar
U1004,"Japanese,Mexican,Contemporary,Bakery,Cafeteria,Breakfast,Continental,Coffee Shop,Bagels","Cafeteria Y Restaurant El Pacifico",Cafeteria
U1004,"Breakfast,Continental,Bakery,Japanese,Contemporary,Coffee Shop,Cafeteria,Bagels,Mexican","Cafeteria Y Restaurant El Pacifico",Contemporary
U1004,"Contemporary,Continental,Bakery,Breakfast,Cafeteria,Coffee Shop,Bagels,Japanese,Mexican","El RincÃ³n De San Francisco",Mexican
U1004,"Bakery,Cafeteria,Breakfast,Contemporary,Japanese,Mexican,Bagels,Coffee Shop,Continental",Emilianos,Brewery
U1004,"Bakery,Contemporary,Continental,Japanese,Cafeteria,Breakfast,Bagels,Mexican,Coffee Shop","La Parroquia",Breakfast
U1004,"Mexican,Breakfast,Japanese,Continental,Coffee Shop,Bakery,Cafeteria,Bagels,Contemporary","La Virreina",Mexican
U1004,"Mexican,Japanese,Contemporary,Bagels,Coffee Shop,Breakfast,Bakery,Continental,Cafeteria","Restaurante Marisco Sam",Seafood
U1004,"Bagels,Mexican,Contemporary,Coffee Shop,Japanese,Continental,Bakery,Breakfast,Cafeteria","Tacos Los Volcanes",American
U1005,American,"Cafeteria Y Restaurant El Pacifico",Cafeteria
U1005,American,"Cafeteria Y Restaurant El Pacifico",Contemporary
U1005,American,"El Herradero Restaurante And Bar",Bar
U1005,American,"Luna Cafe",Bar
U1005,American,"Luna Cafe",Cafeteria
U1005,American,"Pizza Clasica","Fast Food"
U1005,American,"Pizza Clasica",Pizzeria
U1005,American,"Restaurant Oriental Express",Chinese
U1006,Mexican,"Cafe Chaires",Cafeteria
U1006,Mexican,"Cafe Punta Del Cielo",Cafeteria
U1006,Mexican,"Koye Sushi",Chinese
U1006,Mexican,"La Cantina",Bar
U1006,Mexican,"La Cantina",Brewery
U1006,Mexican,"La Parroquia",Breakfast
U1006,Mexican,"Mariscos El Pescador",Seafood
U1006,Mexican,"Preambulo Wifi Zone Cafe",Cafeteria
U1006,Mexican,"Preambulo Wifi Zone Cafe","Coffee Shop"
U1006,Mexican,"Puesto De Tacos",Mexican
U1006,Mexican,"Restaurante Bar Fu-Hao",Bar
U1006,Mexican,"Shi Ro Ie",Japanese
U1007,Family,"Cafe Chaires",Cafeteria
U1007,Family,"Cafeteria Y Restaurant El Pacifico",Cafeteria
U1007,Family,"Cafeteria Y Restaurant El Pacifico",Contemporary
U1007,Family,"El Herradero Restaurante And Bar",Bar
U1007,Family,"El Rincon De San Francisco",Mexican
U1007,Family,"McDonalds Parque Tangamanga",Burgers
U1007,Family,"McDonalds Parque Tangamanga","Fast Food"
U1007,Family,"Restaurante Tiberius",Pizzeria
U1007,Family,"Tortas Locas Hipocampo","Fast Food"
U1008,"Korean,Coffee Shop,Juice,Hot Dogs,Cafeteria,Italian,American,Latin American,Mexican,Hawaiian","Abondance Restaurante Bar",Bar
U1008,"Hot Dogs,Hawaiian,American,Coffee Shop,Juice,Korean,Italian,Latin American,Cafeteria,Mexican",Chaires,Bakery
U1008,"Hawaiian,Juice,Hot Dogs,Latin American,Mexican,Korean,Coffee Shop,Cafeteria,American,Italian",Chaires,Cafeteria
U1008,"Coffee Shop,Hot Dogs,Latin American,Mexican,Korean,Cafeteria,Italian,Juice,Hawaiian,American","Dominos Pizza",Pizzeria
U1008,"Mexican,Coffee Shop,American,Latin American,Juice,Hawaiian,Korean,Cafeteria,Italian,Hot Dogs","El Lechon Potosino ",International
U1008,"Korean,American,Coffee Shop,Cafeteria,Juice,Italian,Mexican,Hot Dogs,Latin American,Hawaiian","Hamburguesas Valle Dorado",Burgers
U1008,"Coffee Shop,Mexican,Latin American,Korean,Hot Dogs,American,Juice,Italian,Cafeteria,Hawaiian",KFC,American
U1008,"Coffee Shop,Mexican,Hawaiian,Latin American,American,Juice,Hot Dogs,Cafeteria,Italian,Korean",KFC,Game
U1008,"Mexican,Korean,Hot Dogs,Hawaiian,American,Latin American,Italian,Cafeteria,Coffee Shop,Juice","Restaurante Y Pescaderia Tampico",Seafood
U1008,"Hawaiian,Coffee Shop,Mexican,Juice,Hot Dogs,Latin American,Italian,Korean,American,Cafeteria",Sirlone,International
U1009,"Deli,Cafeteria,Mexican,Diner,Family,Coffee Shop,Fast Food","Cabana Huasteca",Mexican
U1009,"Family,Cafeteria,Diner,Fast Food,Coffee Shop,Deli,Mexican","Gorditas Doa Gloria",Mexican
U1009,"Mexican,Fast Food,Diner,Deli,Cafeteria,Family,Coffee Shop","Koye Sushi",Chinese
U1009,"Diner,Deli,Fast Food,Cafeteria,Family,Coffee Shop,Mexican","La Cantina Restaurante",Bar
U1009,"Family,Coffee Shop,Diner,Deli,Mexican,Fast Food,Cafeteria","La Cantina Restaurante",Brewery
U1009,"Family,Coffee Shop,Fast Food,Diner,Cafeteria,Mexican,Deli","La Posada Del Virrey",International
U1009,"Deli,Diner,Cafeteria,Fast Food,Family,Coffee Shop,Mexican","Puesto De Tacos",Mexican
U1009,"Coffee Shop,Family,Fast Food,Diner,Deli,Cafeteria,Mexican","Restaurant Bar Hacienda Los Martinez",Bar
U1009,"Diner,Fast Food,Family,Coffee Shop,Deli,Mexican,Cafeteria","Restaurante Marisco Sam",Seafood
U1009,"Family,Mexican,Fast Food,Diner,Cafeteria,Coffee Shop,Deli","Restaurante Tiberius",Pizzeria
U1010,Mexican,"Koye Sushi",Chinese
U1010,Mexican,"La Fontana Pizza Restaurante And Cafe",Cafeteria
U1010,Mexican,"La Fontana Pizza Restaurante And Cafe","Fast Food"
U1010,Mexican,"La Fontana Pizza Restaurante And Cafe",Pizzeria
U1010,Mexican,"Restaurant Oriental Express",Chinese
U1010,Mexican,"Restaurante Tiberius",Pizzeria
U1011,Mexican,"Tacos De La Estacion",Mexican
U1011,Mexican,"Tortas Hawaii","Fast Food"
U1012,"Latin American","El Oceano Dorado",Mexican
U1012,"Latin American","Restaurant And Bar And Clothesline Carlos N Charlies",Bar
U1012,"Latin American","Restaurant And Bar And Clothesline Carlos N Charlies",Brewery
U1012,"Latin American","Restaurant Las MaÃ±anitas",International
U1013,Japanese,"Cafe Chaires",Cafeteria
U1013,Japanese,Crudalia,Bar
U1013,Japanese,"Koye Sushi",Chinese
U1013,Japanese,"Mariscos El Pescador",Seafood
U1013,Japanese,"Restaurante Marisco Sam",Seafood
U1013,Japanese,"Shi Ro Ie",Japanese
U1013,Japanese,"Sushi Itto",Japanese
U1013,Japanese,"Tortas Locas Hipocampo","Fast Food"
U1013,Japanese,Vips,American
U1014,"Japanese,Fast Food","Abondance Restaurante Bar",Bar
U1014,"Japanese,Fast Food","El Herradero Restaurante And Bar",Bar
U1014,"Japanese,Fast Food","Pizza Clasica","Fast Food"
U1014,"Japanese,Fast Food","Pizza Clasica",Pizzeria
U1014,"Japanese,Fast Food","Restaurant Oriental Express",Chinese
